question_id,question,correct_answer,conflicting_answers,conflict_type,exclusion_flag,judge1(sharp/soft),judge2(sharp/soft),human_spotcheck(sharp/soft),gold_reverified(y/n/corrected),verdict(sharp/soft)
qacc-1206,how old was sasuke when his clan died?,7,13 | 25,temporal,,,,,,
qacc-1207,who has won the most superbowls as a player?,Tom Brady ,Ken Norton Jr | ,misinfo,,,,,,
qacc-1209,what is the system of government in japan?,monarchy and parliamentary ,parliamentary system | ,misinfo,,,,,,
qacc-1232,how many customers does edf have in the uk?,5.22 million,five million customer  | ,temporal,,,,,,
qacc-1237,how many national parks are present in india?,106,104 | ,misinfo,,,,,,
qacc-1256,which state is the richest state in nigeria?,Lagos State,Kogi  | ,misinfo,,,,,,
qacc-1271,who plays izabella in transformers the last knight?, Isabela Merced, Isabela Moner  | ,misinfo,,,,,,
qacc-1277,who directed the iconic animated short educational film ek anek aur ekta?,Vijaya Mulay,Bhimsain | ,misinfo,,,,,,
qacc-1283,who sings what the world needs now in boss baby?,Missi Hale,Hal David | ,misinfo,,,,,,
qacc-1287,what us state forms the western boundary of montana?,Idaho,North Dakota | ,misinfo,,,,,,
qacc-1295,where is the largest salt mine in the us?,"Livingston County, New York",Lake Huron | ,misinfo,,,,,,
qacc-1296,when was the first horrid henry book written?,1994,1993 | ,misinfo,,,,,,
qacc-1297,what is a whistle blower suit under the false claims act?,652 qui tam suits,598 qui tam suits | ,temporal,,,,,,
qacc-1302,who was allowed to vote in the roman republic?,adult male citizens,Roman citizens | ,misinfo,,,,,,
qacc-1304,the site of secretion of h+ and cl-?,parietal cells,intercalated cells. | ,misinfo,,,,,,
qacc-1326,what type of government did the ming dynasty have?,imperial dynasty,bureaucracy | ,misinfo,,,,,,
qacc-1327,when was clash royale released in the us?,"March 2, 2016",1/4/2016 | ,misinfo,,,,,,
qacc-1331,who sang theme song for license to kill?,Gladys Knight,Michael Kamen | ,misinfo,,,,,,
qacc-1333,how many wins does tiger woods have on the pga tour?,82,81 | ,misinfo,,,,,,
qacc-1339,who played kelly taylor's mom on 90210?,Ann Gillespie,Jennie Garth | ,misinfo,,,,,,
qacc-1341,ranjit sagar dam has builded over which river?,Ravi River ,river Kalisindh | ,misinfo,,,,,,
qacc-1344,the general term for software that is designed to damage disable or steal data is?,Malware ,A Trojan horse | ,misinfo,,,,,,
qacc-1347,who has won the cma entertainer of the year the most?,Garth Brooks,Brad Paisley | Lainey Wilson,misinfo,,,,,,
qacc-1348,what type of economic system was utilized in the soviet union?,Soviet-type economic planning, centrally planned economies  | ,misinfo,,,,,,
qacc-1349,who made the first spanish landing on the mainland of north america?,Juan Ponce de Leon,Vasco de Balboa | ,misinfo,no_valid_conflict_pair,,,,,
qacc-1354,who sang theme song for license to kill?,Gladys Knight,Michael Kamen | ,misinfo,,,,,,
qacc-1357,who wrote the theme to last of the mohicans?,Trevor Jones,Randy Edelman  | ,misinfo,,,,,,
qacc-1366,where does aarp fall on the political spectrum?,AARP is a nonpartisan ,AARP is a nonprofit | ,misinfo,,,,,,
qacc-1373,which financial statement involves all aspects of the accounting​ equation?,balance sheet,profit-and-loss statement | income statement,misinfo,no_valid_conflict_pair,,,,,
qacc-1377,who played skeletor in the movie masters of the universe?,Frank Langella,Jack Palance | ,misinfo,,,,,,
qacc-1381,where did the name huey helicopter come from?,an early designation, from an early designation | phonetic pronunciation | ,misinfo,gold_not_in_candidates,,,,,
qacc-1394,who played the princess in kingsman secret service?,Hanna Carolina Alström,Colin Firth | ,misinfo,,,,,,
qacc-1402,who was the 19th c. artist who was both painter and graphic designer?,Henri de Toulouse-Lautrec.,Tiarra Brown | ,misinfo,,,,,,
qacc-1405,who wrote if she knew what she wants?,Jules Shear,The Bangles | ,temporal,,,,,,
qacc-1409,who sings i wanna rock'n'roll all night?,Dominique ,American | ,misinfo,,,,,,
qacc-1414,who is going to host the 2018 winter olympics?,South Korea,Pyeongchang | ,misinfo,,,,,,
qacc-1417,the creation of human beings in the kumulipo happens during which wā or period of creation?,"second wā, ",16 wā |  last of the Pō.,misinfo,,,,,,
qacc-1421,what kind of beast is the beast from beauty and the beast?,a mixture of several animals, cycle of fairy tales | ,misinfo,,,,,,
qacc-1423,who were the two mathematicians that invented calculus?,"Isaac Newton, Gottfried Wilhel",Jacob Bernoulli | ,misinfo,,,,,,
qacc-1424,what engine is in a holden v8 supercar?,5.0-Litre V8 engine,5.4L or 5.7L  | ,misinfo,,,,,,
qacc-1426,who sang theme song for dukes of hazard?,Waylon Jennings,Travis Tritt | ,misinfo,,,,,,
qacc-1430,when was south african youth day first celebrated?,June 16,June 17 | ,misinfo,,,,,,
qacc-1434,when did starbucks become a publicly traded company?,1992,1971 | ,misinfo,,,,,,
qacc-1445,where did the world's largest recorded wave occur?,"Lituya Bay, Alaska",Chile | North Atlantic,temporal,,,,,,
qacc-1447,what type of joint connects the incus with the malleus?,synovial,incudomalleolar   | ,misinfo,,,,,,
qacc-1453,when did the great fire of london end?,6th September 1666.,5 th September 1666. | 6 th September 1666. | ,misinfo,gold_not_in_candidates,,,,,
qacc-1468,when does bill nye saves the world season 2 come out?,2017,2018 | ,misinfo,,,,,,
qacc-1470,what is the minimum size of a udp datagram?,8,20 | 508,misinfo,,,,,,
qacc-1477,who has the most gold gloves at shortstop?,Ozzie Smith,Anthony Volpe | ,misinfo,,,,,,
qacc-1489,who sings you're welcome in moana credits?,Jordan Fisher,Dwayne Johnson | ,misinfo,,,,,,
qacc-1497,only player to play for manchester united manchester city liverpool and everton?,Peter Beardsley,Beardsley | ,misinfo,,,,,,
qacc-1499,what is the name of the shape with 100 sides?,hectogon  hecatontagon 100-gon,Hectogon | ,misinfo,,,,,,
qacc-1500,when do new episodes of riverdale season 2 come out?,2018,2017 | ,misinfo,,,,,,
qacc-1503,what kind of dog is nana in snow dogs?,Border Collie ,Alaskan Malamutes  | ,misinfo,,,,,,
qacc-1504,who is the original singer of fool if you think it's over?,Chris Rea,"Elkie Brooks, Chris Rea | ",misinfo,,,,,,
qacc-1511,who was one of the first to chart the course of forgetting over time?,Alzheimer,Alzheimer's | Ebbinghaus | ,misinfo,gold_not_in_candidates,,,,,
qacc-1521,how many episodes curse of oak island season 5?,16 Episodes,19 Episodes | ,temporal,,,,,,
qacc-1522,where does a brisket come from on a cow?,lower breast,above cow's foreleg  | chest,misinfo,,,,,,
qacc-1527,who plays dawn on nicky ricky dicky and dawn?,Elizabeth Anne Greene,Dawn Abigail Harper  | ,misinfo,,,,,,
qacc-1531,when does shadowhunters season 2 episode 17 come out?,"July 24, 2017","Jul 25, 2017 | Aug 1, 2017",temporal,,,,,,
qacc-1552,when did the log flume closed at alton towers?,12 years later in 1996,after 35 years of operation | ,misinfo,,,,,,
qacc-1554,how many seasons of from dusk till dawn are there?,3,4 | ,misinfo,,,,,,
qacc-1557,winner of first series of great british bake off?,Edd Kimber, Jo Wheatley | ,misinfo,,,,,,
qacc-1565,who sang if this world were mine with luther vandross?,Cheryl Lynn ,Marvin Gaye | ,misinfo,,,,,,
qacc-1574,who came out first batman or spider man?,Bat man,Spider man | ,misinfo,,,,,,
qacc-1575,who coined the phrase let get ready to rumble?,Michael Buffer,Bruce Buffer | ,misinfo,,,,,,
qacc-1580,how many states have a cracker barrel restaurant?,44,45 | ,misinfo,,,,,,
qacc-1581,how many indian astronauts have gone to space?,four,three | ,temporal,,,,,,
qacc-1585,when was the letter j introduced to the alphabet?,1524.,500 years ago | ,misinfo,,,,,,
qacc-1588,nearest metro station to gandhi nagar in delhi?,East Azad Nagar,Seelampur | Shahdara,misinfo,,,,,,
qacc-1598,what is the latest edition of the intelligent investor?,Kindle Edition published ,Fourth Revised Edition  | ,temporal,,,,,,
qacc-1602,who was the chief guest of 2014 republic day?,Shinzo Abe,President Obama | ,misinfo,,,,,,
